State,State_abb,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Delaware,DE,112,124,113,83,112,107,115,107,81,80,71,78,87,67,66,66,61,,,
Eastern Pennsylvania,E PA,1924,1908,1850,1467,1813,1818,1751,1623,1658,1534,1545,"1,426",1504,"1,426",1303,"1,051",1125,,,
New Jersey,NJ,2108,2246,2122,1562,1965,1815,1751,1640,1460,1442,1316,"1,209",1194,"1,107",1069,"1,320",1279,,,
Illinois,IL,3470,3224,3125,2585,3292,3410,3372,3097,3005,2840,2758,"2,593",2543,"2,516",2256,"2,062",2076,,,
Iowa,IA,472,457,470,367,373,370,355,332,307,304,283,259,249,213,203,170,185,,,
Kansas,KS,178,170,145,119,142,139,100,96,99,98,100,83,108,93,71,58,51,,,
Missouri,MO,1334,1335,1202,922,981,804,771,760,672,560,492,469,483,426,374,390,371,,,
Nebraska,NE,259,261,250,202,216,206,231,221,182,181,137,127,125,124,94,80,89,,,
Wisconsin,WI,5098,4940,4870,3752,4361,4121,3873,3555,3271,3093,3098,"3,188",3352,"3,328",3196,"3,114",3311,,,
Massachusetts,MA,11763,11444,11452,9624,11154,11367,10855,10693,10527,10310,9816,"9,462",9564,"9,102",8550,"8,043",7766,,,
Michigan,MI,5327,5359,5269,4127,5403,5266,5041,5105,4984,4794,4613,"4,648",4620,"4,883",4429,"4,373",4492,,,
Indiana,IN,679,646,632,525,550,539,507,495,515,496,428,405,367,357,364,324,292,,,
Kentucky,KY,186,199,161,136,153,169,155,125,132,126,145,135,122,139,141,130,125,,,
Ohio,OH,1894,1763,1529,1193,1366,1326,1195,1143,1084,1051,1026,"1,044",1065,"1,101",1059,"1,054",1088,,,
Western Pennsylvania,W PA,1450,1459,1386,1158,1368,1421,1321,1234,1221,1136,1150,"1,095",1211,"1,104",853,804,720,,,
West Virginia,WV,185,171,120,98,114,131,130,122,137,130,135,134,108,132,135,124,114,,,
Minnesota,MN,15723,15355,15377,14238,14392,14223,13883,13580,13354,12808,12561,"12,358",12697,"12,573",12250,"11,713",11489,,,
Connecticut,CT,2532,2708,2726,2318,2719,2711,2556,2427,2416,2423,2435,"2,379",2482,"2,333",2319,"2,260",2197,,,
Maine,ME,1235,1194,1152,907,1256,1179,1257,1211,1116,1089,1053,"1,114",1147,"1,226",1163,"1,168",1217,,,
New Hampshire,NH,1130,1169,1117,927,1084,1092,1107,1107,1086,1105,1106,"1,037",1142,"1,138",1126,"1,134",1206,,,
Rhode Island,RI,767,676,660,513,659,673,655,679,739,739,732,708,796,827,832,814,868,,,
Vermont,VT,1196,1194,1165,971,1195,1182,1212,1231,1334,1255,1319,"1,305",1229,"1,341",1240,"1,297",1236,,,
New York,NY,6795,6938,6590,5316,6348,6414,5992,5861,5666,5339,5344,"5,409",5477,"5,534",5264,"5,000",4727,,,
Montana,MT,1249,1211,1190,941,1079,1073,998,961,948,905,884,857,873,786,691,598,602,,,
North Dakota,ND,1651,1679,1666,1611,1538,1470,1460,1422,1351,1236,1160,"1,080",1075,"1,005",866,872,887,,,
South Dakota,SD,561,571,578,533,516,504,472,489,485,465,456,424,423,395,342,330,352,,,
Wyoming,WY,471,500,498,394,458,450,437,438,405,382,353,369,349,328,294,293,313,,,
Alaska,AK,2322,2228,2030,1510,2001,2013,1987,1965,1935,1865,1811,"1,763",1859,"1,870",1767,"1,752",1670,,,
California,CA,3661,3232,2856,1316,3304,3224,2963,2517,2287,2029,1825,"1,766",1676,"1,661",1392,"1,350",1452,,,
Hawaii,HI,35,20,1,2,34,38,26,21,NA,NA,NA,NA,NA,NA,NA,NA,2,,,
Nevada,NV,469,450,523,286,232,204,107,67,60,72,54,68,66,87,72,70,70,,,
Oregan,OR,412,367,323,209,339,338,311,304,265,224,198,150,102,104,110,95,123,,,
Washington,WA,2113,1936,1759,943,1463,1365,1308,1180,1092,938,852,848,814,852,817,781,814,,,
Arizona,AZ,972,1060,893,634,779,764,757,580,535,508,305,301,314,260,232,329,295,,,
Colorado,CO,3401,3291,3008,2110,2824,2788,2689,2431,2275,2193,2193,"2,149",2220,"2,110",2032,"2,063",2084,,,
Idaho,ID,910,943,878,647,854,778,713,721,674,696,619,584,582,575,581,497,528,,,
New Mexico,NM,295,299,247,150,240,220,224,212,228,205,189,189,190,203,166,154,180,,,
Oklahoma,OK,81,95,74,50,74,82,67,65,41,37,23,39,36,38,39,39,34,,,
Texas,TX,1345,1342,1353,986,1025,995,953,882,808,772,771,721,694,703,587,546,595,,,
Utah,UT,634,580,562,433,511,549,526,533,503,427,391,412,417,368,355,336,369,,,
Alabama,AL,217,217,208,171,224,235,213,171,126,118,85,79,101,95,83,79,100,,,
Arkansas,AR,60,50,51,34,38,37,34,38,29,28,19,19,18,24,19,13,18,,,
District of Columbia,DC,279,267,275,177,269,287,263,217,196,179,176,160,150,137,124,119,102,,,
Florida,FL,1660,1517,1400,1030,1257,1032,903,862,727,676,640,623,628,609,577,559,630,,,
Georgia,GA,206,210,194,146,177,176,173,142,151,152,129,140,164,154,98,131,156,,,
Louisiana,LA,16,17,20,15,30,39,65,63,51,39,45,37,31,29,34,24,36,,,
