"Province","Year","Statistic Label","UNIT","VALUE"
"State","1861","Population of Irish Speakers","Number","1077087"
"State","1861","Population of Non-Irish Speakers","Number","3325024"
"State","1861","Percentage of Irish Speakers","%","24.5"
"State","1871","Population of Irish Speakers","Number","804547"
"State","1871","Population of Non-Irish Speakers","Number","3248640"
"State","1871","Percentage of Irish Speakers","%","19.8"
"State","1881","Population of Irish Speakers","Number","924781"
"State","1881","Population of Non-Irish Speakers","Number","2945239"
"State","1881","Percentage of Irish Speakers","%","23.9"
"State","1891","Population of Irish Speakers","Number","664387"
"State","1891","Population of Non-Irish Speakers","Number","2804307"
"State","1891","Percentage of Irish Speakers","%","19.2"
"State","1901","Population of Irish Speakers","Number","619710"
"State","1901","Population of Non-Irish Speakers","Number","2602113"
"State","1901","Percentage of Irish Speakers","%","19.2"
"State","1911","Population of Irish Speakers","Number","553717"
"State","1911","Population of Non-Irish Speakers","Number","2585971"
"State","1911","Percentage of Irish Speakers","%","17.6"
"State","1926","Population of Irish Speakers","Number","540802"
"State","1926","Population of Non-Irish Speakers","Number","2261650"
"State","1926","Percentage of Irish Speakers","%","19.3"
"State","1936","Population of Irish Speakers","Number","666601"
"State","1936","Population of Non-Irish Speakers","Number","2140324"
"State","1936","Percentage of Irish Speakers","%","23.7"
"State","1946","Population of Irish Speakers","Number","588725"
"State","1946","Population of Non-Irish Speakers","Number","2182932"
"State","1946","Percentage of Irish Speakers","%","21.2"
"State","1961","Population of Irish Speakers","Number","716420"
"State","1961","Population of Non-Irish Speakers","Number","1919398"
"State","1961","Percentage of Irish Speakers","%","27.2"
"State","1971","Population of Irish Speakers","Number","789429"
"State","1971","Population of Non-Irish Speakers","Number","1998019"
"State","1971","Percentage of Irish Speakers","%","28.3"
"State","1981","Population of Irish Speakers","Number","1018413"
"State","1981","Population of Non-Irish Speakers","Number","2208054"
"State","1981","Percentage of Irish Speakers","%","31.6"
"State","1986","Population of Irish Speakers","Number","1042701"
"State","1986","Population of Non-Irish Speakers","Number","2310931"
"State","1986","Percentage of Irish Speakers","%","31.1"
"State","1991","Population of Irish Speakers","Number","1095830"
"State","1991","Population of Non-Irish Speakers","Number","2271176"
"State","1991","Percentage of Irish Speakers","%","32.5"
"State","1996","Population of Irish Speakers","Number","1430205"
"State","1996","Population of Non-Irish Speakers","Number","2049443"
"State","1996","Percentage of Irish Speakers","%","41.1"
"State","2002","Population of Irish Speakers","Number","1570894"
"State","2002","Population of Non-Irish Speakers","Number","2180101"
"State","2002","Percentage of Irish Speakers","%","41.9"
"State","2006","Population of Irish Speakers","Number","1656790"
"State","2006","Population of Non-Irish Speakers","Number","2400856"
"State","2006","Percentage of Irish Speakers","%","40.8"
"State","2011","Population of Irish Speakers","Number","1774437"
"State","2011","Population of Non-Irish Speakers","Number","2596194"
"State","2011","Percentage of Irish Speakers","%","40.6"
"State","2016","Population of Irish Speakers","Number","1761420"
"State","2016","Population of Non-Irish Speakers","Number","2807841"
"State","2016","Percentage of Irish Speakers","%","38.5"
"Leinster","1861","Population of Irish Speakers","Number","35704"
"Leinster","1861","Population of Non-Irish Speakers","Number","1421931"
"Leinster","1861","Percentage of Irish Speakers","%","2.4"
"Leinster","1871","Population of Irish Speakers","Number","16247"
"Leinster","1871","Population of Non-Irish Speakers","Number","1323204"
"Leinster","1871","Percentage of Irish Speakers","%","1.2"
"Leinster","1881","Population of Irish Speakers","Number","27452"
"Leinster","1881","Population of Non-Irish Speakers","Number","1251537"
"Leinster","1881","Percentage of Irish Speakers","%","2.1"
"Leinster","1891","Population of Irish Speakers","Number","13677"
"Leinster","1891","Population of Non-Irish Speakers","Number","1174083"
